mechanism,n_agents,seed,auction_idx,agent_idx,truthful_valuation,truthful_utility,best_misreport_bid,best_misreport_utility,regret
second_price,3,0,13,1,0.757168,0.042755,0.757168,0.042755,0.000000
second_price,3,0,13,2,0.244664,0.000000,0.061166,0.000000,0.000000
weighted_aggregation,3,0,13,0,0.714413,0.263881,1.428826,0.387622,0.123741
weighted_aggregation,3,0,13,1,0.757168,0.292359,1.514335,0.432069,0.139710
weighted_aggregation,3,0,13,2,0.244664,0.053183,0.489328,0.063784,0.010600
second_price,3,0,14,0,0.045178,0.000000,0.011295,0.000000,0.000000
second_price,3,0,14,1,0.976188,0.521399,0.488094,0.521399,0.000000
second_price,3,0,14,2,0.454789,0.000000,0.113697,0.000000,0.000000
weighted_aggregation,3,0,14,0,0.045178,0.004236,0.090356,0.004392,0.000156
weighted_aggregation,3,0,14,1,0.976188,0.486127,1.952376,0.704249,0.218121
weighted_aggregation,3,0,14,2,0.454789,0.125416,0.909579,0.168634,0.043218
second_price,3,0,15,0,0.316164,0.000000,0.079041,0.000000,0.000000
second_price,3,0,15,1,0.080158,0.000000,0.020040,0.000000,0.000000
second_price,3,0,15,2,0.564918,0.248754,0.423689,0.248754,0.000000
weighted_aggregation,3,0,15,0,0.316164,0.099045,0.632328,0.121206,0.022160
weighted_aggregation,3,0,15,1,0.080158,0.019868,0.160316,0.021074,0.001206
weighted_aggregation,3,0,15,2,0.564918,0.234299,1.129837,0.312997,0.078698
second_price,3,0,16,0,0.292654,0.000000,0.073164,0.000000,0.000000
second_price,3,0,16,1,0.094174,0.000000,0.023544,0.000000,0.000000
second_price,3,0,16,2,0.365726,0.073072,0.365726,0.073072,0.000000
weighted_aggregation,3,0,16,0,0.292654,0.099527,0.585309,0.119351,0.019825
weighted_aggregation,3,0,16,1,0.094174,0.024026,0.188348,0.025681,0.001655
weighted_aggregation,3,0,16,2,0.365726,0.134756,0.731453,0.166883,0.032127
second_price,3,0,17,0,0.572063,0.000000,0.143016,0.000000,0.000000
second_price,3,0,17,1,0.343911,0.000000,0.085978,0.000000,0.000000
second_price,3,0,17,2,0.758551,0.186488,0.758551,0.186488,0.000000
weighted_aggregation,3,0,17,0,0.572063,0.183116,1.144127,0.258083,0.074967
weighted_aggregation,3,0,17,1,0.343911,0.084419,0.687821,0.107378,0.022960
weighted_aggregation,3,0,17,2,0.758551,0.299019,1.517102,0.438559,0.139540
second_price,3,0,18,0,0.408694,0.000000,0.102174,0.000000,0.000000
second_price,3,0,18,1,0.915834,0.337438,0.686875,0.337438,0.000000
second_price,3,0,18,2,0.578396,0.000000,0.144599,0.000000,0.000000
weighted_aggregation,3,0,18,0,0.408694,0.092584,0.817388,0.123157,0.030573
weighted_aggregation,3,0,18,1,0.915834,0.395470,1.831668,0.599931,0.204461
weighted_aggregation,3,0,18,2,0.578396,0.171017,1.156792,0.245667,0.074650
second_price,3,0,19,0,0.582565,0.082283,0.582565,0.082283,0.000000
second_price,3,0,19,1,0.103459,0.000000,0.025865,0.000000,0.000000
second_price,3,0,19,2,0.500281,0.000000,0.125070,0.000000,0.000000
weighted_aggregation,3,0,19,0,0.582565,0.226230,1.165129,0.308942,0.082712
weighted_aggregation,3,0,19,1,0.103459,0.023264,0.206918,0.025132,0.001868
weighted_aggregation,3,0,19,2,0.500281,0.178804,1.000563,0.238699,0.059896
second_price,3,0,20,0,0.409712,0.000000,0.102428,0.000000,0.000000
second_price,3,0,20,1,0.456389,0.046677,0.456389,0.046677,0.000000
second_price,3,0,20,2,0.133771,0.000000,0.033443,0.000000,0.000000
weighted_aggregation,3,0,20,0,0.409712,0.143098,0.819424,0.182612,0.039515
weighted_aggregation,3,0,20,1,0.456389,0.165626,0.912778,0.214997,0.049371
weighted_aggregation,3,0,20,2,0.133771,0.033939,0.267542,0.037352,0.003412
second_price,3,0,21,0,0.034480,0.000000,0.008620,0.000000,0.000000
second_price,3,0,21,1,0.628171,0.082456,0.628171,0.082456,0.000000
second_price,3,0,21,2,0.545715,0.000000,0.136429,0.000000,0.000000
weighted_aggregation,3,0,21,0,0.034480,0.004156,0.068959,0.004268,0.000112
weighted_aggregation,3,0,21,1,0.628171,0.247717,1.256342,0.343019,0.095302
weighted_aggregation,3,0,21,2,0.545715,0.200693,1.091431,0.272672,0.071979
second_price,3,0,22,0,0.322904,0.261134,0.080726,0.261134,0.000000
second_price,3,0,22,1,0.061770,0.000000,0.015442,0.000000,0.000000
second_price,3,0,22,2,0.006856,0.000000,0.001714,0.000000,0.000000
